,country,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,perception_of_corruption,generosity
0,Finland,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153
1,Denmark,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252
2,Norway,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271
3,Iceland,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354
4,Netherlands,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322
5,Switzerland,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263
6,Sweden,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267
7,New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33
8,Canada,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285
9,Austria,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244
10,Australia,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332
11,Costa Rica,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144
12,Israel,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261
13,Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194
14,United Kingdom,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348
15,Ireland,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298
16,Germany,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261
17,Belgium,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16
18,United States,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28
19,Czech Republic,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046
20,United Arab Emirates,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262
21,Malta,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375
22,Mexico,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074
23,France,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111
24,Taiwan,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242
25,Chile,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187
27,Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08
28,Qatar,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22
29,Spain,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153
30,Panama,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109
31,Brazil,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099
32,Uruguay,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127
33,Singapore,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271
35,Italy,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158
36,Bahrain,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255
37,Slovakia,38,6.198,1.246,1.504,0.881,0.334,0.014,0.121
39,Poland,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117
41,Lithuania,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043
42,Colombia,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099
43,Slovenia,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144
44,Nicaragua,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2
45,Kosovo,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262
46,Argentina,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066
47,Romania,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083
48,Cyprus,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19
